#K,N,L(phi),L(u),L^2(phi),L^2(u),abs(L)(phi),abs(L)(u) 
11,9,5.4779734705666764e-09,1.00309802840512e-05,15.556349167225518,109.28047091526027,16.337041781717147,52.601886820052094
11,10,nan,4.0317603697924424e-08,15.55634916709066,109.28047091554251,16.33704178168066,52.60188682012007
11,11,1.0267857374719879e-05,7.869247636386922e-05,15.556349189057899,109.28047103940624,16.337041795854653,52.60188685029082
11,12,nan,nan,15.556349167061887,109.28047091554251,16.337041781663807,52.60188682012008
11,13,2.2842427237340426e-08,nan,15.556349167061768,109.28047091554251,16.33704178166289,52.60188682012008
11,14,nan,nan,15.556349167061887,109.28047091554251,16.337041781663814,52.60188682012008
11,15,nan,1.9152596136117343e-05,15.556349167076274,109.28047091554542,16.337041781672223,52.60188682012006
11,16,1.8534623379150637e-08,2.1409670937942087e-05,15.556349167053735,109.28047091551156,16.337041781660616,52.60188682011348
11,17,nan,nan,15.556349167063543,109.28047091557077,16.337041781666464,52.601886820126374
11,18,2.7774172968070488e-08,nan,15.556349167061887,109.28047091554251,16.337041781663846,52.60188682012008
11,19,3.2156820154230448e-09,nan,15.556349167061887,109.28047091554251,16.337041781663814,52.60188682012008
11,20,nan,nan,15.556349167090598,109.28047091554427,16.337041781681357,52.601886820127035
12,2,2.2284241197413996e-08,nan,16.970544377661408,119.06469992348312,17.830421913557604,57.32929788117476
12,3,nan,nan,16.97056272115103,119.21405785886954,17.822630597234657,57.385411208113595
12,4,nan,3.1263291346054216e-08,16.97056274741114,119.21505520179478,17.823255508489723,57.385536584725884
12,5,nan,nan,16.970562751861348,119.21505912974756,17.82321252546693,57.385462250785665
12,6,nan,nan,16.97056274800824,119.21505919481572,17.823213897091346,57.385466647519976
12,7,2.5656531230265154e-08,nan,16.970562747456658,119.21505917762433,17.823213861405307,57.38546654916614
12,8,1.5759038212079502e-08,nan,16.97056275085195,119.21505918071612,17.823213863734594,57.385466551010836
12,9,2.770266044995428e-08,9.915901285435274e-08,16.97056274976979,119.21505916189346,17.823213862972136,57.38546654777424
12,10,8.450838290491726e-09,7.717037616493063e-08,16.970562749769524,119.21505916186557,17.82321386301822,57.38546654777527
12,11,nan,nan,16.97056277459435,119.2150593055939,17.823213880058578,57.38546658656828
12,12,1.6318174151511923e-08,4.347010362317301e-08,16.970562749769545,119.21505916186558,17.823213863018225,57.385466547775316
12,13,1.7937843294066183e-08,3.794530836170962e-08,16.970562749769545,119.21505916186558,17.823213863018225,57.385466547775316
12,14,nan,4.387488631084206e-08,16.970562749769545,119.21505916186558,17.823213863018225,57.385466547775316
12,15,7.152416801535041e-09,5.718166143788911e-08,16.970562749769545,119.21505916186558,17.823213863018225,57.385466547775316
12,16,2.4193247650711194e-08,5.8533162643059774e-08,16.970562749769314,119.21505916186537,17.823213863013994,57.385466547773206
12,17,7.89469461813284e-09,2.7592819594001408e-08,16.970562749769556,119.21505916186564,17.82321386301855,57.385466547776005
12,18,nan,5.327166650156902e-08,16.97056274976955,119.21505916186558,17.823213863018328,57.385466547775316
12,19,nan,nan,16.970562749769545,119.21505916186558,17.823213863018225,57.385466547775316
12,20,1.0958620046091426e-08,nan,16.970562749769545,119.21505916186558,17.823213863018225,57.385466547775316
13,2,9.256950336334991e-09,1.2009818269806486e-08,18.384765790032077,129.03041108123094,19.308859121640715,62.12178318979079
13,3,nan,4.873987561390292e-08,18.384776287215693,129.1489726446553,19.30651576190859,62.167677073225285
13,4,nan,1.7445182290431322e-08,18.384776299518794,129.1496451615793,19.307728930065508,62.166296550072786
13,5,3.340030527451276e-08,7.877654015693211e-08,18.384776299799732,129.14964743672232,19.307735073664468,62.16631236864649
13,6,1.1341294438994105e-08,1.0363546305611532e-07,18.384776298258863,129.14964744531852,19.307737579217505,62.16630379371638
13,7,2.338234066428676e-08,5.518574417249625e-08,18.384776300447484,129.1496474516453,19.30773759576229,62.16630376812793
13,8,nan,6.896331821065266e-08,18.384776299736373,129.1496474457368,19.307737597485474,62.1663037622348
13,9,1.7589324848177236e-08,nan,18.384776299774476,129.14964744895389,19.30773759760152,62.166303762663574
13,10,1.2043912664150042e-08,4.148140137795524e-07,18.384776299809975,129.14964744880174,19.307737597617887,62.16630376264457
13,11,1.086537014169347e-05,nan,18.38477632751088,129.14964760432576,19.307737615089128,62.16630379998493
13,12,nan,nan,18.384776299809975,129.14964744881513,19.30773759761788,62.16630376264832
13,13,nan,nan,18.38477629981006,129.14964744881513,19.30773759761834,62.166303762648276
13,14,3.6142331364776065e-08,1.5199613084364849e-05,18.384776299809975,129.14964744880845,19.30773759761788,62.16630376264642
13,15,3.446002409323289e-08,nan,18.384776299818693,129.14964744881158,19.30773759762168,62.16630376264689
13,16,nan,1.7552712020534933e-05,18.384776299812533,129.14964744879927,19.30773759761631,62.166303762642855
13,17,nan,nan,18.384776299824157,129.14964744881317,19.30773759762271,62.16630376264928
13,18,1.1202087660894462e-08,1.4711719000377482e-05,18.384776299817414,129.14964744880845,19.307737597620573,62.16630376264646
13,19,2.0446313690106072e-08,1.1629021979969616e-05,18.384776299809975,129.14964744881541,19.30773759761788,62.16630376264828
13,20,4.684555809502883e-08,nan,18.38477629980978,129.14964744881604,19.307737597617436,62.16630376264938
14,2,nan,9.298387684403392e-08,19.7989836157004,138.98813674033926,20.7753429775643,66.93894942530471
14,3,1.1190921369547603e-07,nan,19.79898987290963,139.08376779036305,20.79434611792005,66.94165637676977
14,4,nan,1.1864388714442101e-07,19.798989878181537,139.08423435695386,20.79376066560561,66.94700878813677
14,5,2.351663653646665e-08,4.9238093877505236e-08,19.798989877790806,139.08423570858403,20.793761766721044,66.94697197774073
14,6,5.68648512910377e-08,nan,19.79898987773653,139.084235711168,20.7937615746887,66.94698024333151
14,7,nan,nan,19.798989879297096,139.08423570057565,20.793761564289607,66.9469802098859
14,8,3.42588409075458e-08,nan,19.79898987814146,139.08423570880623,20.793761563061256,66.9469802191014
14,9,4.332276897715825e-08,nan,19.798989878159666,139.08423570911637,20.793761563097465,66.94698021907217
