#K,N,L(phi),L(u),L^2(phi),L^2(u),abs(L)(phi),abs(L)(u) 
5,18,nan,1.7654431734535536e-08,7.071067809765255,49.672941331756725,7.424243765693626,23.906231028414712
5,19,nan,nan,7.071067809765255,49.672941331756725,7.424243765693626,23.906231028414712
5,20,nan,3.1535747780291986e-08,7.071067809765255,49.672941331756725,7.424243765693626,23.906231028414712
6,2,2.171234627148419e-08,nan,8.483143222778999,58.565429015293965,8.87665159453415,28.372664698118285
6,3,nan,nan,8.485270320746043,59.57881297122501,8.931500680644382,28.62715245896202
6,4,6.788530221810937e-08,1.557742848462922e-08,8.485281349574487,59.60706409975617,8.911723762507611,28.686219311735627
6,5,3.3249971886804814e-08,nan,8.485281384545099,59.607524680497185,8.91162568628549,28.686105655871444
6,6,nan,nan,8.485281384286992,59.60752954152979,8.911514678143474,28.686591558070315
6,7,nan,nan,8.485281383928987,59.60752959999026,8.911516315707594,28.68658999968984
6,8,1.6171234140161015e-08,4.060760539902024e-08,8.485281384484404,59.60752957689884,8.91151620700001,28.68659221075234
6,9,1.0843356432564828e-08,4.6379187474958245e-08,8.485281384661008,59.607529589950126,8.911516201037742,28.686592167064685
6,10,4.96235892570504e-08,nan,8.48528138627095,59.60752957114125,8.911516203387187,28.686592170793272
6,11,nan,nan,8.485281385484916,59.60752961045286,8.91151620293129,28.686592179059968
6,12,nan,2.1589675848464518e-08,8.485281385683727,59.60752957469102,8.911516202993711,28.686592170483518
6,13,4.3895355610361216e-08,5.5156637372667295e-08,8.485281385683729,59.60752957468602,8.911516202993948,28.68659217048352
6,14,3.2349278384320166e-08,4.527535366388309e-08,8.48528138568373,59.60752957468602,8.911516202993946,28.686592170483518
6,15,4.17075310504013e-08,5.149366852662237e-08,8.485281385683729,59.60752957468602,8.911516202993946,28.686592170483518
6,16,3.104422062223739e-08,2.0197407870353377e-05,8.485281385683729,59.6075295746852,8.911516202993948,28.686592170483515
6,17,nan,6.186550354983955e-06,8.48528138568373,59.60752957468604,8.911516202993948,28.686592170483518
6,18,3.1136846926795744e-08,4.480125492737834e-08,8.485281385683729,59.60752957468602,8.911516202993948,28.686592170483518
6,19,2.6342829852528475e-08,3.522599717312665e-08,8.485281385683729,59.60752957468602,8.91151620299395,28.686592170483518
6,20,nan,nan,8.485281385683729,59.607529574688535,8.911516202993946,28.686592170483518
7,2,2.3144492652380842e-08,5.554730426032606e-08,9.898733702410995,68.8549335598181,10.403652955115302,33.21506765559267
7,3,1.1123536346358044e-08,3.962830392965692e-08,9.899491944287513,69.52831359343718,10.386512908190468,33.482679822228384
