K,N,h,l2phi,relL2phi,l2u,relL2u,l2divu_f
11,17,0.18181818181818182,3.882591463462698e-06,4.361316988046548e-08,2.3837160311621863e-05,1.605337131192285e-08,2.0833389142612717e-09
11,18,0.18181818181818182,3.882722971404277e-06,4.361464710984969e-08,2.3836226584055707e-05,1.6052742483860797e-08,2.4038141713059755e-09
11,19,0.18181818181818182,3.8827619820589915e-06,4.361508531673477e-08,2.3835778871052822e-05,1.605244096711205e-08,2.726015232953051e-09
11,20,0.18181818181818182,3.882625085281174e-06,4.3613547554525366e-08,2.3835741039922487e-05,1.6052415489363254e-08,3.186640703957851e-09
10,2,0.2,44.15981732234233,0.5344085065912427,243.42868296536656,0.18051375744185164,2.0906793598729224e-11
10,3,0.2,9.561831884801993,0.1157143441181817,32.538342085275765,0.02412870299091715,4.045004319598714e-11
10,4,0.2,2.331901399935187,0.028219952441399528,6.7020338762494065,0.0049698716797333285,7.311020891275075e-11
10,5,0.2,0.4290197503101365,0.0051918648663745615,0.8367298165757394,0.0006204743061244233,1.1297920558630866e-10
10,6,0.2,0.07872140792583385,0.0009526622299934243,0.17874430624677612,0.00013254726579009244,1.6591425049552506e-10
10,7,0.2,0.012425062531994246,0.0001503642794433926,0.01956694074305758,1.4509802017348566e-05,1.9274649966270043e-10
10,8,0.2,0.0019261996513650359,2.3310274849387917e-05,0.0035545806538368934,2.635887858973058e-06,2.728460106821368e-10
10,9,0.2,0.0002512313172683326,3.040324014257016e-06,0.0004011439212414004,2.9746698546837105e-07,3.4328088388301825e-10
10,10,0.2,3.706505654371929e-05,4.485498970628066e-07,5.836023151202054e-05,4.327684210044389e-08,4.463385684691015e-10
10,11,0.2,6.495998386622721e-06,7.861257149851892e-08,4.01555660305174e-05,2.9777230924772996e-08,5.825587132469513e-10
10,12,0.2,3.515342730320837e-06,4.254159488374201e-08,2.182679837366283e-05,1.6185592179850624e-08,7.254714698221518e-10
10,13,0.2,3.4783682397904136e-06,4.2094140988674867e-08,2.1820909537369263e-05,1.618122533222461e-08,8.921195640547674e-10
