,K,N,l2phi,relL2phi,l1phi,relL1phi,l2u,relL2u,l1u,relL1u
65,4,10,5.656854246369227,0.09123958462642456,35.29525140110459,0.006366478781203513,39.738353071456444,0.10751141965639271,258.72493200609324,0.006442486027223945
66,4,11,5.656854247856891,0.09123958465041913,35.295251462026116,0.006366478792192402,39.7383531113074,0.10751141962781,258.7249326806907,0.0064424860802388935
67,4,12,5.656854248135567,0.09123958465491391,35.295251426669324,0.006366478785814823,39.738353107299275,0.10751141966954832,258.724932464314,0.006442486091197716
68,4,13,5.656854246637411,0.0912395846307501,35.29525141720828,0.00636647878410826,39.73835310727793,0.10751141967036236,258.72493246201225,0.006442486091584132
69,4,14,5.656854246637411,0.0912395846307501,35.295251417208036,0.006366478784108217,39.73835310727793,0.1075114196703624,258.7249324620112,0.006442486091585161
70,4,15,5.656854246637411,0.0912395846307501,35.29525141720782,0.006366478784108178,39.73835310727793,0.10751141967036237,258.72493246201026,0.006442486091586108
71,4,16,5.656854246636975,0.09123958463074307,35.2952514171492,0.006366478784097605,39.738353107276616,0.10751141967042428,258.7249324619041,0.0064424860916219625
72,4,17,5.656854246637411,0.0912395846307501,35.29525141720782,0.006366478784108178,39.73835310727793,0.10751141967036237,258.72493246201026,0.00644248609158611
73,4,18,5.656854246637411,0.0912395846307501,35.29525141720782,0.006366478784108178,39.73835310727793,0.10751141967036237,258.7249324620103,0.006442486091586095
74,4,19,5.656854246637411,0.0912395846307501,35.295251417207815,0.006366478784108177,39.73835310727793,0.10751141967036237,258.72493246201026,0.006442486091586116
75,4,20,5.656854246637411,0.0912395846307501,35.29525141720782,0.006366478784108178,39.73835310727793,0.10751141967036237,258.72493246201026,0.006442486091586109
76,5,2,7.0641661759522005,0.09115053131112885,55.333503557764075,0.005758068906840038,47.989708752710705,0.09023927254033394,382.2568000884104,0.005269046974607161
77,5,3,7.071018744969181,0.09123895155651751,54.68330836537305,0.0056904088369011206,49.60581177064335,0.09987139519445139,404.68316727375327,0.005763348126593068
78,5,4,7.071067570536825,0.091239581563842,55.15382313815003,0.005739371152842452,49.67135344625264,0.10218582772108557,403.9582037053307,0.005868228689825096
79,5,5,7.071067808884911,0.09123958463930118,55.111715825752654,0.005734989416811354,49.67291697186609,0.10204474055827392,404.1561800437115,0.0058617811730894455
80,5,6,7.071067809926363,0.09123958465273926,55.11942559358728,0.0057357917042428945,49.67294106462913,0.10200698748923528,404.1179641255053,0.0058598429404664665
