K,N,h,l2phi,relL2phi,l1phi,relL1phi,l2u,relL2u,l1u,relL1u
15,18,0.13333333333333333,3.5470614119290975e-07,1.5256178108714465e-09,8.363875424354077e-06,9.55522165557137e-11,188.4955591873952,0.1290322580453542,4544.239575411936,0.0058843085367835425
15,19,0.13333333333333333,3.547047213105367e-07,1.52561170385049e-09,8.363822616587852e-06,9.555161325893342e-11,188.4955591873963,0.12903225804535967,4544.239575411921,0.005884308536783766
15,20,0.13333333333333333,3.54710632466591e-07,1.5256371281775935e-09,8.363960210771154e-06,9.55531851892328e-11,188.49555918740305,0.12903225804535956,4544.2395754121035,0.005884308536783622
14,2,0.14285714285714285,0.5960590314667463,0.0027468158134658013,11.27343913627449,0.00014866734030453494,175.85322552570926,0.1268291896607213,3955.1842251280505,0.0057986449332264175
14,3,0.14285714285714285,0.04488890164283154,0.00020686129791243598,1.0139147333044498,1.337089816814923e-05,175.9288186625729,0.12898270944593318,3957.9443526963405,0.005850042017279323
14,4,0.14285714285714285,0.0025355457287095516,1.1684542529700129e-05,0.047592721731336295,6.276242122853939e-07,175.9291875156163,0.12903225726843914,3958.3589241502373,0.005851586528815867
14,5,0.14285714285714285,0.00011435770336954469,5.269940247933668e-07,0.0025710138829908935,3.390498598075585e-08,175.92918858417428,0.12903225805215474,3958.3600482170473,0.005851421506951177
14,6,0.14285714285714285,4.296834934348859e-06,1.9801082648607085e-08,8.072562309251042e-05,1.0645610034806027e-09,175.92918858621724,0.12903224741216635,3958.360705564811,0.005851418996069738
14,7,0.14285714285714285,3.717034928480383e-07,1.7129193220393724e-09,8.101126858479848e-06,1.068327924567869e-10,175.9291885778425,0.12903225792557074,3958.360702149835,0.005851419238476446
14,8,0.14285714285714285,3.4018004844977866e-07,1.5676499930016488e-09,7.424019315461417e-06,9.790350510233769e-11,175.92918858434902,0.12903225805228288,3958.3607029203367,0.005851419242239196
14,9,0.14285714285714285,3.40775780079932e-07,1.5703953000533017e-09,7.435860922168075e-06,9.805966509510747e-11,175.9291885845946,0.1290322580524631,3958.3607029720706,0.005851419242117325
14,10,0.14285714285714285,3.4083444010610144e-07,1.5706656227545684e-09,7.437016612302152e-06,9.807490564205793e-11,175.92918858475807,0.12903225805258295,3958.3607029868845,0.0058514192421103145
14,11,0.14285714285714285,4.2295737332269067e-07,1.9491123196403416e-09,8.252363371659673e-06,1.0882720870364718e-10,175.92918872075276,0.12903225777886676,3958.3607060691197,0.00585141923790192
14,12,0.14285714285714285,3.40834440106088e-07,1.5706656227545063e-09,7.437016554148889e-06,9.807490487516764e-11,175.92918858475807,0.12903225805258292,3958.3607029868845,0.0058514192421103145
14,13,0.14285714285714285,3.4083444010608805e-07,1.5706656227545065e-09,7.4370165545584385e-06,9.807490488056853e-11,175.92918858475807,0.12903225805258292,3958.3607029868845,0.0058514192421103145
14,14,0.14285714285714285,3.4083444010608805e-07,1.5706656227545065e-09,7.437016554786657e-06,9.807490488357814e-11,175.92918858475807,0.12903225805258295,3958.3607029868845,0.0058514192421103145
14,15,0.14285714285714285,3.4083444010608826e-07,1.5706656227545076e-09,7.437016559076367e-06,9.807490494014826e-11,175.92918858475693,0.12903225805258206,3958.360702986737,0.005851419242110791
14,16,0.14285714285714285,3.4083967490474597e-07,1.5706897462506283e-09,7.437213709419427e-06,9.807750484039064e-11,175.92918858469383,0.12903225805253582,3958.360702986737,0.005851419242110789
14,17,0.14285714285714285,3.4083444618690316e-07,1.570665650776696e-09,7.437017560843874e-06,9.807491815085611e-11,175.9291885847581,0.12903225805258292,3958.3607029868845,0.0058514192421103145
14,18,0.14285714285714285,3.4083444232305565e-07,1.5706656329709473e-09,7.43701736504098e-06,9.80749155687252e-11,175.9291885847581,0.12903225805258292,3958.3607029868845,0.0058514192421103145
14,19,0.14285714285714285,3.4083444010608805e-07,1.5706656227545065e-09,7.437016556252792e-06,9.807490490291266e-11,175.92918858475807,0.12903225805258292,3958.3607029868845,0.0058514192421103145
14,20,0.14285714285714285,3.4083378787581363e-07,1.570662617085039e-09,7.436998421411973e-06,9.807466575153048e-11,175.92918858492328,0.1290322580527041,3958.360702990172,0.005851419242108947
13,2,0.15384615384615385,0.6420674472723711,0.0031864389474954035,11.321052552021708,0.00017225884723612544,163.26856967706723,0.12649066399855483,3410.2467680609225,0.005815712713636939
13,3,0.15384615384615385,0.05202020695536286,0.0002581647990464511,1.0910653713872482,1.6601430147134087e-05,163.36228449606674,0.12896580916521896,3413.347457656679,0.005875980091451179
13,4,0.15384615384615385,0.003163964768596546,1.5702058420791625e-05,0.05523304576980649,8.404148598310277e-07,163.36281616685508,0.12903225662713436,3413.2051479589027,0.005877711004227432
13,5,0.15384615384615385,0.0001536994219861558,7.627762885422533e-07,0.003205701866791824,4.8777311616457566e-08,163.36281796551356,0.1290322580478063,3413.2056443227584,0.005877490420473538
13,6,0.15384615384615385,6.206701543258704e-06,3.080248907951512e-08,0.00010887185152718035,1.6565720858866242e-09,163.36281797230976,0.12903224168720817,3413.204789603066,0.005877485389957446
13,7,0.15384615384615385,3.706848994017188e-07,1.8396272941727119e-09,7.521200893085726e-06,1.1444107248163052e-10,163.3628179773114,0.1290322578059471,3413.204782849332,0.005877485765879296
13,8,0.15384615384615385,3.116243488979501e-07,1.5465228248755873e-09,6.334469307601732e-06,9.638400455841289e-11,163.36281797264064,0.12903225805343563,3413.2047822625022,0.0058774857714296545
13,9,0.15384615384615385,3.111783581282961e-07,1.5443094711778003e-09,6.326435922534482e-06,9.626177019506817e-11,163.36281797518402,0.12903225804763782,3413.2047822806358,0.005877485771126538
13,10,0.15384615384615385,3.111579139200187e-07,1.5442080110869912e-09,6.326008975237223e-06,9.625527385129461e-11,163.3628179750637,0.129032258048019,3413.204782282679,0.005877485771140417
13,11,0.15384615384615385,3.992815834141583e-07,1.9815463216729515e-09,7.139976207327416e-06,1.086404347224715e-10,163.36281809801653,0.12903225777391755,3413.2047849025976,0.005877485766982482
13,12,0.15384615384615385,3.1115791517383847e-07,1.544208017309422e-09,6.326009001605593e-06,9.62552742525104e-11,163.36281797507425,0.12903225804790713,3413.2047822826826,0.005877485771140403
13,13,0.15384615384615385,3.1115832867000387e-07,1.544210069399575e-09,6.326026822476787e-06,9.625554541128425e-11,163.36281797507425,0.12903225804790716,3413.204782282679,0.005877485771140417
13,14,0.15384615384615385,3.1115791517383847e-07,1.544208017309422e-09,6.326009003726009e-06,9.625527428477422e-11,163.362817975069,0.1290322580479629,3413.204782282679,0.005877485771140417
13,15,0.15384615384615385,3.1114616713022866e-07,1.5441497143634088e-09,6.325862262857303e-06,9.625304150537765e-11,163.3628179750724,0.12903225804795024,3413.2047822827194,0.005877485771139981
13,16,0.15384615384615385,3.111447007525893e-07,1.5441424370550175e-09,6.3257165103590355e-06,9.625082376482588e-11,163.36281797506078,0.12903225804798138,3413.2047822826385,0.005877485771140853
13,17,0.15384615384615385,3.1115428053769614e-07,1.5441899794129157e-09,6.325890936981564e-06,9.625347780505632e-11,163.36281797507272,0.129032258047942,3413.2047822829713,0.005877485771138896
13,18,0.15384615384615385,3.111549264899116e-07,1.5441931851311098e-09,6.325942501103742e-06,9.62542623943164e-11,163.36281797506902,0.1290322580479629,3413.204782282682,0.005877485771140403
13,19,0.15384615384615385,3.1115791517383847e-07,1.544208017309422e-09,6.326009003023202e-06,9.625527427408045e-11,163.3628179750745,0.12903225804790686,3413.204782282679,0.005877485771140416
13,20,0.15384615384615385,3.1115776563217635e-07,1.5442072751671775e-09,6.32599185600572e-06,9.625501336852849e-11,163.36281797507502,0.1290322580479063,3413.204782282679,0.005877485771140417
